# Wordlist

# META
@vowels:T V _

# DATA
ID	GLOSSID	CONCEPT	COUNTERPART	IPA	DOCULECT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	CUSTOMID	ALIGNMENT
2985	2984	rotten	гнил	ɡnʲil	Macedonian	ɡ nʲ i l	1 4 7 5	ACXN	KNIL	6	6.K.C 6.N.C 6.I.V 6.L.c	2.0 1.5 1.5 0.8	0	548	- ɡ nʲ i l - -
2986	2985	rotten	truo	trûo	Serbo-Croatian Latin	t r û o	1 5 7 7	ACXZ	TRYU	12	12.T.C 12.R.C 12.Y.V 12.U.V	2.0 1.5 1.5 0.8	0	554	t r û o
2987	2986	rotten	труо	trûo	Serbo-Croatian Cyrillic	t r û o	1 5 7 7	ACXZ	TRYU	11	11.T.C 11.R.C 11.Y.V 11.U.V	2.0 1.5 1.5 0.8	0	554	t r û o
2988	2987	rotten	gnil	ˈɡníːw	Slovene	ˈɡ n íː w	1 4 7 6	ACXN	KNIW	14	14.K.C 14.N.C 14.I.V 14.W.c	2.0 1.5 1.5 0.8	0	548	- ˈɡ n íː w - -
2990	2989	rotten	гнилой	ɡnʲɪˈloj	Russian	ɡ nʲ ɪ ˈl o j	1 4 7 5 7 6	ACXBYN	KNILUJ	9	9.K.C 9.N.C 9.I.V 9.L.C 9.U.V 9.J.c	2.0 1.5 1.5 1.75 1.3 0.8	0	548	- ɡ nʲ ɪ ˈl o j
#
3025	3024	round	round	ˈɹaʊnd	English	ˈɹ aʊ n d	5 7 4 1	AXLN	RANT	4	4.R.C 4.A.V 4.N.c 4.T.c	2.0 1.5 1.1 0.8	0	558	ˈɹ aʊ n d
3028	3027	round	okrągły	ɔˈkrɔ̃ŋɡwɨ	Polish	ɔ ˈk r ɔ̃ ŋ ɡ w ɨ	7 1 5 7 4 1 6 7	XBCYMBCZ	UKRUNKWI	8	8.U.V 8.K.C 8.R.C 8.U.V 8.N.c 8.K.C 8.W.C 8.I.V	1.5 1.75 1.5 1.3 1.1 1.75 1.5 0.8	0	557	ɔ - ˈk r ɔ̃ ŋ ɡ w ɨ -
3030	3029	round	kulaty	ˈkulatɨ	Lower Sorbian	ˈk u l a t ɨ	1 7 5 7 1 7	AXBYBZ	KYLATI	5	5.K.C 5.Y.V 5.L.C 5.A.V 5.T.C 5.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	559	ˈk u l a t ɨ
3034	3033	round	okrugao	okrǔːɡao	Serbo-Croatian Latin	o k r ǔː ɡ ao	7 1 5 7 1 7	XBCYBZ	UKRYKA	12	12.U.V 12.K.C 12.R.C 12.Y.V 12.K.C 12.A.V	1.5 1.75 1.5 1.3 1.75 0.8	0	557	o - k r ǔː - ɡ - ao -
3035	3034	round	округао	okrǔːɡao	Serbo-Croatian Cyrillic	o k r ǔː ɡ ao	7 1 5 7 1 7	XBCYBZ	UKRYKA	11	11.U.V 11.K.C 11.R.C 11.Y.V 11.K.C 11.A.V	1.5 1.75 1.5 1.3 1.75 0.8	0	557	o - k r ǔː - ɡ - ao -
3036	3035	round	okrogel	otˈkròːɡəw	Slovene	o t ˈk r òː ɡ ə w	7 1 1 5 7 1 7 6	XMBCYBYN	UTKRUKEW	14	14.U.V 14.T.c 14.K.C 14.R.C 14.U.V 14.K.C 14.E.V 14.W.c	1.5 1.1 1.75 1.5 1.3 1.75 1.3 0.8	0	557	o t ˈk r òː - ɡ - ə w
3037	3036	round	круглы	krʊˈɡlɨ	Belarusian	k r ʊ ˈɡ l ɨ	1 5 7 1 5 7	ACXBCZ	KRYKLI	1	1.K.C 1.R.C 1.Y.V 1.K.C 1.L.C 1.I.V	2.0 1.5 1.5 1.75 1.5 0.8	0	557	- - k r ʊ - ˈɡ l ɨ -
3038	3037	round	круглый	ˈkruɡlɨj	Russian	ˈk r u ɡ l ɨ j	1 5 7 1 5 7 6	ACXBCYN	KRYKLIJ	9	9.K.C 9.R.C 9.Y.V 9.K.C 9.L.C 9.I.V 9.J.c	2.0 1.5 1.5 1.75 1.5 1.3 0.8	0	557	- - ˈk r u - ɡ l ɨ j
3039	3038	round	округлый	ɐˈkruɡlɨj	Rusyn	ɐ ˈk r u ɡ l ɨ j	7 1 5 7 1 5 7 6	XBCYBCYN	EKRYKLIJ	10	10.E.V 10.K.C 10.R.C 10.Y.V 10.K.C 10.L.C 10.I.V 10.J.c	1.5 1.75 1.5 1.3 1.75 1.5 1.3 0.8	0	557	ɐ - ˈk r u - ɡ l ɨ j
#
2465	2464	salt	salt	sɔːlt	English	s ɔː l t	3 7 5 1	AXLN	SULT	4	4.S.C 4.U.V 4.L.c 4.T.c	2.0 1.5 1.1 0.8	0	560	s ɔː l t
2466	2465	salt	соль	solʲ	Old Church Slavonic	s o lʲ	3 7 5	AXN	SUL	7	7.S.C 7.U.V 7.L.c	2.0 1.5 0.8	0	560	s o lʲ -
2467	2466	salt	sůl	suːl	Czech	s uː l	3 7 5	AXN	SYL	3	3.S.C 3.Y.V 3.L.c	2.0 1.5 0.8	0	560	s uː l -
2468	2467	salt	sól	sɔuːl	Polish	s ɔuː l	3 7 5	AXN	SUL	8	8.S.C 8.U.V 8.L.c	2.0 1.5 0.8	0	560	s ɔuː l -
2469	2468	salt	soľ	ˈsɔʎ	Slovak	ˈs ɔ ʎ	3 7 5	AXN	SUL	13	13.S.C 13.U.V 13.L.c	2.0 1.5 0.8	0	560	ˈs ɔ ʎ -
2470	2469	salt	sol	sɒl	Lower Sorbian	s ɒ l	3 7 5	AXN	SOL	5	5.S.C 5.O.V 5.L.c	2.0 1.5 0.8	0	560	s ɒ l -
2471	2470	salt	sól	sɔuːl	Upper Sorbian	s ɔuː l	3 7 5	AXN	SUL	16	16.S.C 16.U.V 16.L.c	2.0 1.5 0.8	0	560	s ɔuː l -
2472	2471	salt	сол	sôːl	Bulgarian	s ôː l	3 7 5	AXN	SUL	2	2.S.C 2.U.V 2.L.c	2.0 1.5 0.8	0	560	s ôː l -
2473	2472	salt	сол	sôːl	Macedonian	s ôː l	3 7 5	AXN	SUL	6	6.S.C 6.U.V 6.L.c	2.0 1.5 0.8	0	560	s ôː l -
2474	2473	salt	so	səʊ	Serbo-Croatian Latin	s əʊ	3 7	AX	SE	12	12.S.C 12.E.V	2.0 1.5	0	560	s əʊ - -
2475	2474	salt	со	sə	Serbo-Croatian Cyrillic	s ə	3 7	AX	SE	11	11.S.C 11.E.V	2.0 1.5	0	560	s ə - -
2476	2475	salt	sol	sɒl	Slovene	s ɒ l	3 7 5	AXN	SOL	14	14.S.C 14.O.V 14.L.c	2.0 1.5 0.8	0	560	s ɒ l -
2477	2476	salt	соль	solʲ	Belarusian	s o lʲ	3 7 5	AXN	SUL	1	1.S.C 1.U.V 1.L.c	2.0 1.5 0.8	0	560	s o lʲ -
2478	2477	salt	соль	solʲ	Russian	s o lʲ	3 7 5	AXN	SUL	9	9.S.C 9.U.V 9.L.c	2.0 1.5 0.8	0	560	s o lʲ -
2479	2478	salt	сіль	ˈsʲilʲ	Rusyn	ˈsʲ i lʲ	3 7 5	AXN	SIL	10	10.S.C 10.I.V 10.L.c	2.0 1.5 0.8	0	560	ˈsʲ i lʲ -
2480	2479	salt	сіль	ˈsʲilʲ	Ukrainian	ˈsʲ i lʲ	3 7 5	AXN	SIL	15	15.S.C 15.I.V 15.L.c	2.0 1.5 0.8	0	560	ˈsʲ i lʲ -
#
2497	2496	sand	sand	sænd	English	s æ n d	3 7 4 1	AXLN	SENT	4	4.S.C 4.E.V 4.N.c 4.T.c	2.0 1.5 1.1 0.8	0	562	s æ n d
2500	2499	sand	piasek	ˈpʲjäsɛk	Polish	ˈpʲ j ä s ɛ k	1 6 7 3 7 1	ACXBYN	PJASEK	8	8.P.C 8.J.C 8.A.V 8.S.C 8.E.V 8.K.c	2.0 1.5 1.5 1.75 1.3 0.8	0	561	ˈpʲ j ä s ɛ k
2501	2500	sand	piesok	ˈpi̯ɛsɔk	Slovak	ˈp i̯ɛ s ɔ k	1 7 3 7 1	AXBYN	PISUK	13	13.P.C 13.I.V 13.S.C 13.U.V 13.K.c	2.0 1.5 1.75 1.3 0.8	0	561	ˈp - i̯ɛ s ɔ k
2502	2501	sand	pěsk	pʲiɪ̯sk	Lower Sorbian	pʲ iɪ̯ s k	1 7 3 1	AXLN	PISK	5	5.P.C 5.I.V 5.S.c 5.K.c	2.0 1.5 1.1 0.8	0	561	pʲ - iɪ̯ s - k
2503	2502	sand	pěsk	pʲiɪ̯sk	Upper Sorbian	pʲ iɪ̯ s k	1 7 3 1	AXLN	PISK	16	16.P.C 16.I.V 16.S.c 16.K.c	2.0 1.5 1.1 0.8	0	561	pʲ - iɪ̯ s - k
2504	2503	sand	пясък	ˈpʲasək	Bulgarian	ˈpʲ a s ə k	1 7 3 7 1	AXBYN	PASEK	2	2.P.C 2.A.V 2.S.C 2.E.V 2.K.c	2.0 1.5 1.75 1.3 0.8	0	561	ˈpʲ - a s ə k
2505	2504	sand	песок	pʲɪˈsok	Macedonian	pʲ ɪ ˈs o k	1 7 3 7 1	AXBYN	PISUK	6	6.P.C 6.I.V 6.S.C 6.U.V 6.K.c	2.0 1.5 1.75 1.3 0.8	0	561	pʲ - ɪ ˈs o k
2506	2505	sand	pesak	pěːsak	Serbo-Croatian Latin	p ěː s a k	1 7 3 7 1	AXBYN	PESAK	12	12.P.C 12.E.V 12.S.C 12.A.V 12.K.c	2.0 1.5 1.75 1.3 0.8	0	561	p - ěː s a k
2507	2506	sand	песак	pěːsak	Serbo-Croatian Cyrillic	p ěː s a k	1 7 3 7 1	AXBYN	PESAK	11	11.P.C 11.E.V 11.S.C 11.A.V 11.K.c	2.0 1.5 1.75 1.3 0.8	0	561	p - ěː s a k
2508	2507	sand	pesek	ˈpèːsək	Slovene	ˈp èː s ə k	1 7 3 7 1	AXBYN	PESEK	14	14.P.C 14.E.V 14.S.C 14.E.V 14.K.c	2.0 1.5 1.75 1.3 0.8	0	561	ˈp - èː s ə k
2510	2509	sand	песок	pʲɪˈsok	Russian	pʲ ɪ ˈs o k	1 7 3 7 1	AXBYN	PISUK	9	9.P.C 9.I.V 9.S.C 9.U.V 9.K.c	2.0 1.5 1.75 1.3 0.8	0	561	pʲ - ɪ ˈs o k
2511	2510	sand	пісок	pʲiˈsɔk	Rusyn	pʲ i ˈs ɔ k	1 7 3 7 1	AXBYN	PISUK	10	10.P.C 10.I.V 10.S.C 10.U.V 10.K.c	2.0 1.5 1.75 1.3 0.8	0	561	pʲ - i ˈs ɔ k
2512	2511	sand	пісок	pʲiˈsɔk	Ukrainian	pʲ i ˈs ɔ k	1 7 3 7 1	AXBYN	PISUK	15	15.P.C 15.I.V 15.S.C 15.U.V 15.K.c	2.0 1.5 1.75 1.3 0.8	0	561	pʲ - i ˈs ɔ k
#
2449	2448	sea	sea	siː	English	s iː	3 7	AX	SI	4	4.S.C 4.I.V	2.0 1.5	0	566	s iː
2451	2450	sea	moře	mor̝ɛ	Czech	m o r̝ ɛ	4 7 5 7	AXBZ	MURE	3	3.M.C 3.U.V 3.R.C 3.E.V	2.0 1.5 1.75 0.8	0	563	m o r̝ - ɛ
2452	2451	sea	morze	ˈmɔʐɛ	Polish	ˈm ɔ ʐ ɛ	4 7 3 7	AXBZ	MUSE	8	8.M.C 8.U.V 8.S.C 8.E.V	2.0 1.5 1.75 0.8	0	563	ˈm ɔ ʐ - ɛ
2453	2452	sea	more	ˈmɔː	Slovak	ˈm ɔː	4 7	AX	MU	13	13.M.C 13.U.V	2.0 1.5	0	563	ˈm ɔː - - -
2454	2453	sea	mórjo	ˈmɨrʲɔ	Lower Sorbian	ˈm ɨ rʲ ɔ	4 7 5 7	AXBZ	MIRU	5	5.M.C 5.I.V 5.R.C 5.U.V	2.0 1.5 1.75 0.8	0	563	ˈm ɨ rʲ - ɔ
2456	2455	sea	море	moˈrɛ	Bulgarian	m o ˈr ɛ	4 7 5 7	AXBZ	MURE	2	2.M.C 2.U.V 2.R.C 2.E.V	2.0 1.5 1.75 0.8	0	563	m o ˈr - ɛ
2457	2456	sea	море	moˈrɛ	Macedonian	m o ˈr ɛ	4 7 5 7	AXBZ	MURE	6	6.M.C 6.U.V 6.R.C 6.E.V	2.0 1.5 1.75 0.8	0	563	m o ˈr - ɛ
2458	2457	sea	more	ˈmɔː	Serbo-Croatian Latin	ˈm ɔː	4 7	AX	MU	12	12.M.C 12.U.V	2.0 1.5	0	563	ˈm ɔː - - -
2459	2458	sea	море	moˈrɛ	Serbo-Croatian Cyrillic	m o ˈr ɛ	4 7 5 7	AXBZ	MURE	11	11.M.C 11.U.V 11.R.C 11.E.V	2.0 1.5 1.75 0.8	0	563	m o ˈr - ɛ
2460	2459	sea	morje	ˈmóːrjɛ	Slovene	ˈm óː r j ɛ	4 7 5 6 7	AXBCZ	MURJE	14	14.M.C 14.U.V 14.R.C 14.J.C 14.E.V	2.0 1.5 1.75 1.5 0.8	0	563	ˈm óː r j ɛ
2461	2460	sea	мора	ˈmɔra	Belarusian	ˈm ɔ r a	4 7 5 7	AXBZ	MURA	1	1.M.C 1.U.V 1.R.C 1.A.V	2.0 1.5 1.75 0.8	0	563	ˈm ɔ r - a
2462	2461	sea	море	moˈrɛ	Russian	m o ˈr ɛ	4 7 5 7	AXBZ	MURE	9	9.M.C 9.U.V 9.R.C 9.E.V	2.0 1.5 1.75 0.8	0	563	m o ˈr - ɛ
2463	2462	sea	море	moˈrɛ	Rusyn	m o ˈr ɛ	4 7 5 7	AXBZ	MURE	10	10.M.C 10.U.V 10.R.C 10.E.V	2.0 1.5 1.75 0.8	0	563	m o ˈr - ɛ
2464	2463	sea	море	moˈrɛ	Ukrainian	m o ˈr ɛ	4 7 5 7	AXBZ	MURE	15	15.M.C 15.U.V 15.R.C 15.E.V	2.0 1.5 1.75 0.8	0	563	m o ˈr - ɛ
#
865	864	seed	seed	siːd	English	s iː d	3 7 1	AXN	SIT	4	4.S.C 4.I.V 4.T.c	2.0 1.5 0.8	0	569	s iː d
867	866	seed	semeno	ˈsɛmɛnɔ	Czech	ˈs ɛ m ɛ n ɔ	3 7 4 7 4 7	AXBYBZ	SEMENU	3	3.S.C 3.E.V 3.M.C 3.E.V 3.N.C 3.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	567	ˈs ɛ m ɛ n ɔ
869	868	seed	semeno	ˈsɛmɛnɔ	Slovak	ˈs ɛ m ɛ n ɔ	3 7 4 7 4 7	AXBYBZ	SEMENU	13	13.S.C 13.E.V 13.M.C 13.E.V 13.N.C 13.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	567	ˈs ɛ m ɛ n ɔ
870	869	seed	semje	ˈsɛmʲɛ	Lower Sorbian	ˈs ɛ mʲ ɛ	3 7 4 7	AXBZ	SEME	5	5.S.C 5.E.V 5.M.C 5.E.V	2.0 1.5 1.75 0.8	0	567	ˈs ɛ mʲ - - ɛ
872	871	seed	семе	ˈsɛmɛ	Bulgarian	ˈs ɛ m ɛ	3 7 4 7	AXBZ	SEME	2	2.S.C 2.E.V 2.M.C 2.E.V	2.0 1.5 1.75 0.8	0	567	ˈs ɛ m - - ɛ
873	872	seed	семе	ˈsɛmɛ	Macedonian	ˈs ɛ m ɛ	3 7 4 7	AXBZ	SEME	6	6.S.C 6.E.V 6.M.C 6.E.V	2.0 1.5 1.75 0.8	0	567	ˈs ɛ m - - ɛ
874	873	seed	seme	siːm	Serbo-Croatian Latin	s iː m	3 7 4	AXN	SIM	12	12.S.C 12.I.V 12.M.c	2.0 1.5 0.8	0	567	s iː m - - -
875	874	seed	семе	ˈsɛmɛ	Serbo-Croatian Cyrillic	ˈs ɛ m ɛ	3 7 4 7	AXBZ	SEME	11	11.S.C 11.E.V 11.M.C 11.E.V	2.0 1.5 1.75 0.8	0	567	ˈs ɛ m - - ɛ
876	875	seed	seme	siːm	Slovene	s iː m	3 7 4	AXN	SIM	14	14.S.C 14.I.V 14.M.c	2.0 1.5 0.8	0	567	s iː m - - -
878	877	seed	семя	ˈsʲemʲə	Russian	ˈsʲ e mʲ ə	3 7 4 7	AXBZ	SEME	9	9.S.C 9.E.V 9.M.C 9.E.V	2.0 1.5 1.75 0.8	0	567	ˈsʲ e mʲ - - ə
880	879	seed	насіння	nɑˈsinʲːɑ	Ukrainian	n ɑ ˈs i nʲː ɑ	4 7 3 7 4 7	AXBYBZ	NASINA	15	15.N.C 15.A.V 15.S.C 15.I.V 15.N.C 15.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	577	n ɑ ˈs i nʲː ɑ
#
3041	3040	sharp	sharp	ʃɑɹp	English	ʃ ɑ ɹ p	3 7 5 1	AXLN	SARP	4	4.S.C 4.A.V 4.R.c 4.P.c	2.0 1.5 1.1 0.8	0	578	ʃ ɑ ɹ p
3044	3043	sharp	ostry	ˈɔs̪t̪rɨ	Polish	ˈɔ s̪ t̪ r ɨ	7 3 1 5 7	XMBCZ	USTRI	8	8.U.V 8.S.c 8.T.C 8.R.C 8.I.V	1.5 1.1 1.75 1.5 0.8	0	580	ˈɔ s̪ t̪ - r ɨ -
3046	3045	sharp	wótšy	ˈwɨt͡ʃɨ	Lower Sorbian	ˈw ɨ t͡ʃ ɨ	6 7 2 7	AXBZ	WICI	5	5.W.C 5.I.V 5.C.C 5.I.V	2.0 1.5 1.75 0.8	0	579	ˈw ɨ t͡ʃ ɨ
3050	3049	sharp	oštar	ôʃtar	Serbo-Croatian Latin	ô ʃ t a r	7 3 1 7 5	XMBYN	USTAR	12	12.U.V 12.S.c 12.T.C 12.A.V 12.R.c	1.5 1.1 1.75 1.3 0.8	0	580	ô ʃ t a r - -
3051	3050	sharp	оштар	ôʃtar	Serbo-Croatian Cyrillic	ô ʃ t a r	7 3 1 7 5	XMBYN	USTAR	11	11.U.V 11.S.c 11.T.C 11.A.V 11.R.c	1.5 1.1 1.75 1.3 0.8	0	580	ô ʃ t a r - -
3052	3051	sharp	oster	ˈòːstər	Slovene	ˈòː s t ə r	7 3 1 7 5	XMBYN	USTER	14	14.U.V 14.S.c 14.T.C 14.E.V 14.R.c	1.5 1.1 1.75 1.3 0.8	0	580	ˈòː s t ə r - -
3054	3053	sharp	острый	ˈostrɨj	Russian	ˈo s t r ɨ j	7 3 1 5 7 6	XMBCYN	USTRIJ	9	9.U.V 9.S.c 9.T.C 9.R.C 9.I.V 9.J.c	1.5 1.1 1.75 1.5 1.3 0.8	0	580	ˈo s t - r ɨ j
3055	3054	sharp	острый	ˈostrɨj	Rusyn	ˈo s t r ɨ j	7 3 1 5 7 6	XMBCYN	USTRIJ	10	10.U.V 10.S.c 10.T.C 10.R.C 10.I.V 10.J.c	1.5 1.1 1.75 1.5 1.3 0.8	0	580	ˈo s t - r ɨ j
#
513	512	short	short	ʃɔːt	English	ʃ ɔː t	3 7 1	AXN	SUT	4	4.S.C 4.U.V 4.T.c	2.0 1.5 0.8	0	583	ʃ ɔː t
515	514	short	krátký	'kra:tki:	Czech	'k r a: t k i:	1 5 7 1 1 7	ACXMBZ	KRATKI	3	3.K.C 3.R.C 3.A.V 3.T.c 3.K.C 3.I.V	2.0 1.5 1.5 1.1 1.75 0.8	0	582	'k - r a: t - k i: -
516	515	short	krótki	ˈkrut̪kʲi	Polish	ˈk r u t̪ kʲ i	1 5 7 1 1 7	ACXMBZ	KRYTKI	8	8.K.C 8.R.C 8.Y.V 8.T.c 8.K.C 8.I.V	2.0 1.5 1.5 1.1 1.75 0.8	0	582	ˈk - r u t̪ - kʲ i -
517	516	short	krátky	ˈkraːtki	Slovak	ˈk r aː t k i	1 5 7 1 1 7	ACXMBZ	KRATKI	13	13.K.C 13.R.C 13.A.V 13.T.c 13.K.C 13.I.V	2.0 1.5 1.5 1.1 1.75 0.8	0	582	ˈk - r aː t - k i -
518	517	short	krotki	ˈkrɔtkʲi	Lower Sorbian	ˈk r ɔ t kʲ i	1 5 7 1 1 7	ACXMBZ	KRUTKI	5	5.K.C 5.R.C 5.U.V 5.T.c 5.K.C 5.I.V	2.0 1.5 1.5 1.1 1.75 0.8	0	582	ˈk - r ɔ t - kʲ i -
519	518	short	krótki	ˈkrut̪kʲi	Upper Sorbian	ˈk r u t̪ kʲ i	1 5 7 1 1 7	ACXMBZ	KRYTKI	16	16.K.C 16.R.C 16.Y.V 16.T.c 16.K.C 16.I.V	2.0 1.5 1.5 1.1 1.75 0.8	0	582	ˈk - r u t̪ - kʲ i -
520	519	short	къс	ˈkɤs	Bulgarian	ˈk ɤ s	1 7 3	AXN	KES	2	2.K.C 2.E.V 2.S.c	2.0 1.5 0.8	0	581	ˈk ɤ s
521	520	short	кус	kus	Macedonian	k u s	1 7 3	AXN	KYS	6	6.K.C 6.Y.V 6.S.c	2.0 1.5 0.8	0	581	k u s
522	521	short	kratak	krǎtak	Serbo-Croatian Latin	k r ǎ t a k	1 5 7 1 7 1	ACXBYN	KRATAK	12	12.K.C 12.R.C 12.A.V 12.T.C 12.A.V 12.K.c	2.0 1.5 1.5 1.75 1.3 0.8	0	582	k - r ǎ t a k - -
523	522	short	кратак	krǎtak	Serbo-Croatian Cyrillic	k r ǎ t a k	1 5 7 1 7 1	ACXBYN	KRATAK	11	11.K.C 11.R.C 11.A.V 11.T.C 11.A.V 11.K.c	2.0 1.5 1.5 1.75 1.3 0.8	0	582	k - r ǎ t a k - -
524	523	short	kratek	ˈkràːtək	Slovene	ˈk r àː t ə k	1 5 7 1 7 1	ACXBYN	KRATEK	14	14.K.C 14.R.C 14.A.V 14.T.C 14.E.V 14.K.c	2.0 1.5 1.5 1.75 1.3 0.8	0	582	ˈk - r àː t ə k - -
526	525	short	короткий	kɐˈrotkʲɪj	Russian	k ɐ ˈr o t kʲ ɪ j	1 7 5 7 1 1 7 6	AXBYMBYN	KERUTKIJ	9	9.K.C 9.E.V 9.R.C 9.U.V 9.T.c 9.K.C 9.I.V 9.J.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	0	582	k ɐ ˈr o t - kʲ ɪ j
528	527	short	короткий	kɐˈrotkʲɪj	Ukrainian	k ɐ ˈr o t kʲ ɪ j	1 7 5 7 1 1 7 6	AXBYMBYN	KERUTKIJ	15	15.K.C 15.E.V 15.R.C 15.U.V 15.T.c 15.K.C 15.I.V 15.J.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	0	582	k ɐ ˈr o t - kʲ ɪ j
#
977	976	skin	skin	skɪn	English	s k ɪ n	3 1 7 4	ACYN	SKIN	4	4.S.C 4.K.C 4.I.V 4.N.c	2.0 1.5 1.3 0.8	0	586	s k ɪ n -
978	977	skin	кожа	ˈkɔʒə	Old Church Slavonic	ˈk ɔ ʒ ə	1 7 3 7	AXBZ	KUSE	7	7.K.C 7.U.V 7.S.C 7.E.V	2.0 1.5 1.75 0.8	0	584	ˈk ɔ ʒ ə
979	978	skin	kůže	'ku:ʒɛ	Czech	'k u: ʒ ɛ	1 7 3 7	AXBZ	KYSE	3	3.K.C 3.Y.V 3.S.C 3.E.V	2.0 1.5 1.75 0.8	0	584	'k u: ʒ ɛ
980	979	skin	skóra	ˈs̪kura	Polish	ˈs̪ k u r a	3 1 7 5 7	ACYBZ	SKYRA	8	8.S.C 8.K.C 8.Y.V 8.R.C 8.A.V	2.0 1.5 1.3 1.75 0.8	0	586	ˈs̪ k u r a
981	980	skin	koža	kôʒa	Slovak	k ô ʒ a	1 7 3 7	AXBZ	KUSA	13	13.K.C 13.U.V 13.S.C 13.A.V	2.0 1.5 1.75 0.8	0	584	k ô ʒ a
982	981	skin	kóža	ˈkɨʒa	Lower Sorbian	ˈk ɨ ʒ a	1 7 3 7	AXBZ	KISA	5	5.K.C 5.I.V 5.S.C 5.A.V	2.0 1.5 1.75 0.8	0	584	ˈk ɨ ʒ a
983	982	skin	koža	kôʒa	Upper Sorbian	k ô ʒ a	1 7 3 7	AXBZ	KUSA	16	16.K.C 16.U.V 16.S.C 16.A.V	2.0 1.5 1.75 0.8	0	584	k ô ʒ a
984	983	skin	кожа	ˈkɔʒə	Bulgarian	ˈk ɔ ʒ ə	1 7 3 7	AXBZ	KUSE	2	2.K.C 2.U.V 2.S.C 2.E.V	2.0 1.5 1.75 0.8	0	584	ˈk ɔ ʒ ə
985	984	skin	кожа	ˈkɔʒə	Macedonian	ˈk ɔ ʒ ə	1 7 3 7	AXBZ	KUSE	6	6.K.C 6.U.V 6.S.C 6.E.V	2.0 1.5 1.75 0.8	0	584	ˈk ɔ ʒ ə
986	985	skin	koža	kôʒa	Serbo-Croatian Latin	k ô ʒ a	1 7 3 7	AXBZ	KUSA	12	12.K.C 12.U.V 12.S.C 12.A.V	2.0 1.5 1.75 0.8	0	584	k ô ʒ a
987	986	skin	кожа	ˈkɔʒə	Serbo-Croatian Cyrillic	ˈk ɔ ʒ ə	1 7 3 7	AXBZ	KUSE	11	11.K.C 11.U.V 11.S.C 11.E.V	2.0 1.5 1.75 0.8	0	584	ˈk ɔ ʒ ə
988	987	skin	koža	kôʒa	Slovene	k ô ʒ a	1 7 3 7	AXBZ	KUSA	14	14.K.C 14.U.V 14.S.C 14.A.V	2.0 1.5 1.75 0.8	0	584	k ô ʒ a
990	989	skin	кожа	ˈkɔʒə	Russian	ˈk ɔ ʒ ə	1 7 3 7	AXBZ	KUSE	9	9.K.C 9.U.V 9.S.C 9.E.V	2.0 1.5 1.75 0.8	0	584	ˈk ɔ ʒ ə
991	990	skin	скора	skɐˈra	Rusyn	s k ɐ ˈr a	3 1 7 5 7	ACYBZ	SKERA	10	10.S.C 10.K.C 10.E.V 10.R.C 10.A.V	2.0 1.5 1.3 1.75 0.8	0	586	s k ɐ ˈr a
#
2577	2576	sky	sky	skaɪ	English	s k aɪ	3 1 7	ACZ	SKA	4	4.S.C 4.K.C 4.A.V	2.0 1.5 0.8	0	590	s k aɪ
2578	2577	sky	нєбо	ˈnʲebə	Old Church Slavonic	ˈnʲ e b ə	4 7 1 7	AXBZ	NEPE	7	7.N.C 7.E.V 7.P.C 7.E.V	2.0 1.5 1.75 0.8	0	587	ˈnʲ e b ə
2579	2578	sky	nebe	ʹnɛbɛ	Czech	ʹn ɛ b ɛ	4 7 1 7	AXBZ	NEPE	3	3.N.C 3.E.V 3.P.C 3.E.V	2.0 1.5 1.75 0.8	0	587	ʹn ɛ b ɛ
2580	2579	sky	niebo	ˈɲɛbɔ	Polish	ˈɲ ɛ b ɔ	4 7 1 7	AXBZ	NEPU	8	8.N.C 8.E.V 8.P.C 8.U.V	2.0 1.5 1.75 0.8	0	587	ˈɲ ɛ b ɔ
2581	2580	sky	nebo	ˈnɛbo	Slovak	ˈn ɛ b o	4 7 1 7	AXBZ	NEPU	13	13.N.C 13.E.V 13.P.C 13.U.V	2.0 1.5 1.75 0.8	0	587	ˈn ɛ b o
2584	2583	sky	небе	nɛˈbɛ	Bulgarian	n ɛ ˈb ɛ	4 7 1 7	AXBZ	NEPE	2	2.N.C 2.E.V 2.P.C 2.E.V	2.0 1.5 1.75 0.8	0	587	n ɛ ˈb ɛ
2585	2584	sky	небо	ˈnʲebə	Macedonian	ˈnʲ e b ə	4 7 1 7	AXBZ	NEPE	6	6.N.C 6.E.V 6.P.C 6.E.V	2.0 1.5 1.75 0.8	0	587	ˈnʲ e b ə
2586	2585	sky	nebo	ˈnɛbo	Serbo-Croatian Latin	ˈn ɛ b o	4 7 1 7	AXBZ	NEPU	12	12.N.C 12.E.V 12.P.C 12.U.V	2.0 1.5 1.75 0.8	0	587	ˈn ɛ b o
2587	2586	sky	небо	ˈnʲebə	Serbo-Croatian Cyrillic	ˈnʲ e b ə	4 7 1 7	AXBZ	NEPE	11	11.N.C 11.E.V 11.P.C 11.E.V	2.0 1.5 1.75 0.8	0	587	ˈnʲ e b ə
